name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Cody Jones,Para Track and Field,Simi Valley High School '13; California Lutheran University '17 Marketing Communications Psychology,Simi Valley,CA,30,0|0|0,2016
Erin Kerkhoff,Para Track and Field,University of Northern Iowa,Coralville,IA,25,0|0|0,2020|2024
Noelle Lambert,Para Track and Field,University of Massachusetts Lowell '19 Criminal Justice,Manchester,NH,29,0|0|0,2020|2024
Hagan Landry,Para Track and Field,Delcambre High School '14; Louisiana State University Human Movement Studies,Delcambre,LA,31,0|1|0,2020
Jared Lane,Para Track and Field,Piscataway High School '11; Northeastern University '16 Criminal Justice; University of East London '18 Law ML,Piscataway,NJ,32,0|0|0,
Kelsey LeFevour,Para Track and Field,Resurrection High School '07; University of Illinois at Urbana Champaign '11 Media Studies; University of Illinois at Urbana Champaign '14 Recreation Sport and Tourism; University of Illinois at Urbana Champaign '20 Sport Management PhD,Chicago,IL,36,0|0|0,2016|2020
Blake Leeper,Para Track and Field,,Kingsport,TN,36,0|1|1,2012|2024
Derek Loccident,Para Track and Field,University of Central Oklahoma '22,Oklahoma City,OK,27,0|2|0,2024
Cheri Madsen,Para Track and Field,Nebraska City Senior High School (Nebraska City Neb.),Nebraska City,NE,49,2|5|3,1996|2000|2016|2020
Angela Madsen,Para Track and Field,Fairborn Baker '78; United States Marine Corps,Long Beach,CA,60,0|0|1,2008|2012|2016
Noelle Malkamaki,Para Track and Field,DePaul University '23,Decatur,IL,25,1|0|0,2024
Noah Malone,Para Track and Field,Indiana State University,Fishers,IN,24,2|3|1,2020|2024
Lindi Marcusen,Para Track and Field,Brigham Young University Idaho,Spokane,WA,29,0|0|0,2024
Raymond Martin,Para Track and Field,University of Illinois Urbana-Champaign,Jersey City,NJ,32,7|3|0,2012|2016|2020
Brittni Mason,Para Track and Field,Eastern Michigan University,Cleveland,OH,28,1|4|0,2020|2024
Nick Mayhugh,Para Track and Field,Radford University,Manassas,VA,30,3|1|0,2020|2024
Chelsea McClammer,Para Track and Field,University of Illinois Urbana-Champaign,Richland,WA,32,0|2|1,2008|2016|2020
Hannah McFadden,Para Track and Field,Atholton High School '14; University of Illinois at Urbana-Champaign '18 Advertising,Clarksville,MD,30,0|0|0,2012|2016
Tatyana McFadden,Para Track and Field,University of Illinois,Baltimore,MD,37,8|9|5,2004|2008|2012|2014|2016|2020|2024
Amanda McGrory,Para Track and Field,University of Illinois-Champaign '10 Psychology,Savoy,IL,39,1|2|4,2008|2012|2016|2020
Ryan Medrano,Para Track and Field,Coronado High School,Savannah,GA,28,0|2|0,2024
Leo Merle,Para Track and Field,,Folsom,CA,28,0|0|0,2024
Trenten Merrill,Para Track and Field,Azusa Pacific University,San Juan Capistrano,CA,35,0|0|1,2016|2020|2024
Arelle Middleton,Para Track and Field,,Rancho Cucamonga,CA,18,0|1|0,2024
Cassie Mitchell,Para Track and Field,Georgia Institute of Technology,Warner,OK,44,0|2|1,2012|2016|2020|2024
Kerri Morgan,Para Track and Field,Texas Christian University Psychology,St. Louis,MO,51,0|1|3,2008|2012|2016
Rachael Morrison,Para Track and Field,Harrison High School '08; Oakland University '12 Psychology,Farmington Hills,MI,38,1|0|0,2016
