name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Katie Meili,Swimming,"Nolan Catholic High School; Columbia University",Colleyville,TX,35,1|0|1,2016
Debbie Meyer,Swimming,"Rio Americano High School; UCLA",Sacramento,CA,73,3|0|0,1968
Cody Miller,Swimming,"Palo Verde High School; Indiana University",Las Vegas,NV,34,1|0|1,2016
Jake Mitchell,Swimming,University of Michigan,Folsom,CA,24,0|0|0,2020
Ryan Murphy,Swimming,University of California,Jacksonville,FL,30,5|2|2,2016|2020|2024
John Naber,Swimming,"Woodside High School; University of Southern California",Woodside,CA,70,4|1|0,1976
Lia Neal,Swimming,"Convent of the Sacred Heart; Stanford University",Brooklyn,NY,31,0|1|1,2012|2016
Jacob Pebley,Swimming,"Crescent Valley High School; University of California Berkeley",Corvallis,OR,32,0|0|0,2016
Aaron Peirsol,Swimming,University of Texas at Austin,,,42,5|2|0,2000|2004|2008
Anna Peplowski,Swimming,Indiana University,Germantown Hills,IL,23,0|1|0,2024
Blake Pieroni,Swimming,Indiana University,Chesterton,IN,30,3|1|0,2016|2020|2024
David Plummer,Swimming,"Westmoore High School; University of Minnesota",Oklahoma City,OK,40,1|0|1,2016
Josh Prenot,Swimming,"Family Partnership Charter School; University of California Berkeley",Santa Maria,CA,32,0|1|0,2016
Ivan Puskovitch,Swimming,West Virginia University,West Chester,PA,25,0|0|0,2024
Cierra Runge,Swimming,"21st Century Cyber School; University of Wisconsin",Cochranville,PA,30,1|0|0,2016
Sean Ryan,Swimming,"McCallie School; University of Michigan",Chattanooga,TN,33,0|0|0,2016
Kaitlin Sandeno,Swimming,University of Southern California,Lake Forest,CA,43,1|1|2,2000|2004
Allison Schmitt,Swimming,University of Georgia,Canton,MI,35,4|3|3,2008|2012|2016|2020
Don Schollander,Swimming,"Santa Clara High School; Yale University",Lake Oswego,OR,80,7|1|0,1964|1968
Andrew Seliskar,Swimming,"Thomas Jefferson High School; University of California Berkeley",McLean,VA,29,0|0|0,2020
Alex Shackell,Swimming,University of California Berkeley,Carmel,IN,19,1|1|0,2024
Aaron Shackell,Swimming,University of Texas,Carmel,IN,21,0|0|0,2024
Tom Shields,Swimming,University of California,Huntington Beach,CA,34,2|0|0,2016|2020
Kaitlynn Sims,Swimming,"Montgomery High School; University of Michigan",Montgomery,TX,25,0|0|0,
Bella Sims,Swimming,,Henderson,NV,20,0|1|0,2020
Regan Smith,Swimming,Stanford University,Lakeville,MN,24,2|5|1,2020|2024
Clark Smith,Swimming,"Regis Jesuit High School; University of Texas",Denver,CO,31,1|0|0,2016
T.C. Smith,Swimming,"University of Louisville '21 Accounting Finance",Louisville,KY,27,0|0|0,
Leah Smith,Swimming,"University of Virginia '17 Media Studies",Pittsburgh,PA,31,1|0|1,2016
Kieran Smith,Swimming,University of Florida,Ridgefield,CT,25,0|1|1,2020|2024
Olivia Smoliga,Swimming,"University of Georgia '17 Exercise and Sport Science",Chicago,IL,31,1|0|1,2016|2020
Erica Sullivan,Swimming,University of Texas,Las Vegas,NV,25,0|1|0,2020
Charlie Swanson,Swimming,University of Michigan,Richmond,VA,28,1|1|0,2024
