name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Sammy Sullivan,Rugby,Army West Point,Fayetteville,NC,27,0|0|1,2024
Naya Tapper,Rugby,University of North Carolina,Beaufort,NC,31,0|0|1,2020|2024
Zack Test,Rugby,Woodside High School (Woodside Calif.) '07; University of Oregon; Loughborough University,Redwood City,CA,36,0|0|0,2016
Kristen Thomas,Rugby,John W. Hallahan Girls High School (Philadelphia Pa.); University of Central Florida '15 Theater Studies,Philadelphia,PA,32,0|0|0,2020
Brett Thompson,Rugby,Marcos de Niza High School (Tempe Ariz.) '09; University of Arizona,Tempe,AZ,35,0|0|0,2020
Nia Toliver,Rugby,,Los Angeles,CA,28,0|0|0,2020
Stephen Tomasin,Rugby,Cardinal Newman High School (Santa Rosa Calif.) '12; San Diego State University,Santa Rosa,CA,31,0|0|0,2020|2024
Marcus Tupuola,Rugby,Notre Dame College (South Euclid Ohio) '18,Carson,CA,30,0|0|0,2024
Maka Unufe,Rugby,Provo High School (Provo Utah) '10,Provo,UT,34,0|0|0,2016|2024
Inoke Waqavesi,Rugby,Sacramento Charter High School (Sacramento Calif.) '18,Sacramento,CA,26,0|0|0,
Ben Wierenga,Rugby,Valley Center High School (Valley Center Calif.) '19,Valley Center,CA,24,0|0|0,
Kevon Williams,Rugby,Westbury High School (Houston Texas); New Mexico Highlands Computer Science,Houston,TX,34,0|0|0,2020|2024
Chris Wyles,Rugby,Haileybury and Imperial Service College (Hertford England); University of Nottingham Politics,Stamford,CT,42,0|0|0,2016
