name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Joey Peppersack,Para Swimming,University of Mary Washington '21 Economics,Hopewell,VA,27,0|0|0,2020
Gia Pergolini,Para Swimming,St. Francis High School,Atlanta,GA,22,2|1|0,2020|2024
Roy Perkins,Para Swimming,The Bishop’s School '08; Stanford University '18 Earth Systems,Del Mar,CA,36,2|4|4,2008|2012|2016
Jonny Pierce,Para Swimming,South Torrance High School (Torrance Calif.),Torrance,CA,32,0|0|0,
Michael Prout,Para Swimming,,West Springfield,,40,1|0|1,2004|2008|2012
Christie Raleigh Crossley,Para Swimming,Florida State University,Toms River,NJ,38,2|2|1,2024
Morgan Ray,Para Swimming,University of North Florida,St. Augustine,FL,23,0|1|0,2024
Ileana Rodriguez,Para Swimming,Florida International University,Miami,,40,0|0|0,2012
Martha Ruether,Para Swimming,Allegany-Limestone High School '12; DeVry University '17 Business Management,Allegany,NY,31,0|0|0,2016|2020
Lawrence Sapp,Para Swimming,University of Missouri-St. Louis,Waldorf,MD,24,0|0|0,2020|2024
Summer Schmit,Para Swimming,,Stillwater,MN,22,0|0|0,2020|2024
Susan Beth Scott,Para Swimming,,Cape Girardeau,,33,0|1|3,2008|2012
Zachary Shattuck,Para Swimming,Frostburg State University,Mt. Airy,MD,30,0|1|0,2020|2024
Haven Shepherd,Para Swimming,Homeschooled,Carthage,MO,23,0|0|0,2020
Ian Silverman,Para Swimming,University of Southern California,Baltimore,,30,1|0|0,2012
Natalie Sims,Para Swimming,Edina High School '16,Edina,MN,28,0|0|1,2016|2020|2024
Lizzi Smith,Para Swimming,Muncie Central High School,Muncie,IN,29,0|2|1,2016|2020|2024
Leanne Smith,Para Swimming,University of New Hampshire,Salem,MA,38,2|3|0,2020|2024
Bradley Snyder,Para Swimming,Northeast High School '02; U.S. Naval Academy '06 Naval Architecture,Baltimore,MD,42,6|2|0,2012|2016|2020
Morgan Stickney,Para Swimming,University of Colorado Colorado Springs,Cary,NC,28,3|1|0,2020|2024
Elizabeth Stone,Para Swimming,,Grand Rapids,,35,0|1|2,2004|2008|2012
Matthew Torres,Para Swimming,Fairfield University '23,Ansonia,CT,25,0|0|2,2020|2024
Ali Truwit,Para Swimming,Yale University '23,Darien,CT,25,0|2|0,2024
Mallory Weggemann,Para Swimming,University of Minnesota Public Relations,Eagan,MN,37,4|2|1,2012|2016|2020|2024
MeiMei White,Para Swimming,Homeschooled,Orlando,FL,22,0|0|0,2020
Evan Wilkerson,Para Swimming,,Wake Forest,NC,19,0|0|0,2024
Taylor Winnett,Para Swimming,,Hershey,PA,27,0|0|0,2024
Joe Wise,Para Swimming,Loyola Maryland University,Menlo Park,,32,0|0|0,2008|2012
Colleen Young,Para Swimming,Fairfield University '20,St. Louis,MO,27,0|1|3,2012|2016|2020|2024
Justin Zook,Para Swimming,Springfield College,Ft. Lauderdale,,40,3|0|1,2004|2008|2012
Trischa Zorn-Hudson,Para Swimming,University of Nebraska; IUPUI,Orange,CA,61,37|10|5,1980|1984|1988|1992|1996|2000|2004
