name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Allyson Felix,Track and Field,"University of Southern California '07, Elementary Education",Los Angeles,CA,40,7|3|1,2004|2008|2012|2016|2020
Grant Fisher,Track and Field,"Stanford University '19, Electrical Engineering",Grand Blanc,MI,29,0|0|2,2020|2024
Shalane Flanagan,Track and Field,"University of North Carolina – Chapel Hill '05, History",Marblehead,MA,44,0|1|0,2004|2008|2012|2016
Dick Fosbury,Track and Field,Oregon State University,Medford,OR,76,1|0|0,1968
Courtney Frerichs,Track and Field,"University of New Mexico '17, Community Health Education",Nixa,MO,33,0|1|0,2016|2020
English Gardner,Track and Field,"University of Oregon '13, Social Sciences",Willingboro,NJ,34,1|1|0,2016|2020
Justin Gatlin,Track and Field,"University of Tennessee '02, Psychology",Woodham,FL,44,1|2|2,2004|2012|2016
Tyson Gay,Track and Field,"University of Arkansas '05, Marketing",Lexington,KY,43,0|0|0,2008|2012|2016
Florence Griffith Joyner,Track and Field,UCLA,Long Beach,CA,38,3|2|0,1984|1988
Quincy Hall,Track and Field,University of South Carolina,Kansas City,MO,27,1|0|0,2024
Anna Hall,Track and Field,University of Florida,Greenwood Village,CO,25,0|0|0,2024
Dawn Harper-Nelson,Track and Field,UCLA,St. Louis,IL,41,1|1|0,2008|2012
Keni Harrison,Track and Field,University of Kentucky,Clayton,NC,33,0|1|0,2020
JuVaughn Harrison,Track and Field,"Louisiana State University, Biomedical Engineering",Huntsville,AL,27,0|0|0,2020|2024
Natasha Hastings,Track and Field,"University of South Carolina '09, Exercise Science",Brooklyn,NY,39,2|0|0,2008|2016
Bob Hayes,Track and Field,Florida A&M University,Jacksonville,FL,59,2|0|0,1964
Nikki Hiltz,Track and Field,University of Arkansas,Santa Cruz,CA,31,0|0|0,2024
Aleia Hobbs,Track and Field,Louisiana State University,New Orleans,LA,30,0|1|0,2020
Cole Hocker,Track and Field,University of Oregon,Indianapolis,IN,24,1|0|0,2020|2024
Grant Holloway,Track and Field,University of Florida,Chesapeake,VA,28,1|1|0,2020|2024
Bryce Hoppel,Track and Field,University of Kansas,Midland,TX,28,0|0|0,2020|2024
Molly Huddle,Track and Field,"University of Notre Dame '06, Biology",Elmira,NY,41,0|0|0,2012|2016
Lynna Irby,Track and Field,University of Georgia,Indianapolis,IN,27,1|0|1,2020
Melissa Jefferson,Track and Field,Coastal Carolina University,Hemingway,SC,25,1|0|1,2024
Michael Johnson,Track and Field,Baylor University,Dallas,TX,58,4|0|0,1992|1996|2000
Jackie Joyner-Kersee,Track and Field,UCLA,East St. Louis,IL,64,3|1|2,1984|1988|1992|1996
Sam Kendricks,Track and Field,University of Mississippi,Oxford,MS,33,0|1|1,2016|2024
Fred Kerley,Track and Field,Texas A&M University,Taylor,TX,31,0|1|1,2020|2024
Hobbs Kessler,Track and Field,Northern Arizona University,Ann Arbor,MI,23,0|0|0,2024
Carl Lewis,Track and Field,University of Houston,Willingboro Township,NJ,64,9|1|0,1984|1988|1992|1996
Noah Lyles,Track and Field,TC Williams High School,Alexandria,VA,28,1|0|2,2020|2024
Sydney McLaughlin-Levrone,Track and Field,University of Kentucky,Dunellen,NJ,26,4|0|0,2016|2020|2024
Athing Mu,Track and Field,Texas A&M University,Trenton,NJ,23,2|0|0,2020
Edwin Moses,Track and Field,"Morehouse College; Pepperdine University",Dayton,OH,70,2|0|1,1976|1984|1988
Dalilah Muhammad,Track and Field,University of Southern California,Jamaica,NY,36,2|1|0,2016|2020
Katie Moon,Track and Field,Ashland University,Olmsted Falls,OH,34,1|1|0,2020|2024
Jasmine Moore,Track and Field,University of Florida '24,Grand Prairie,TX,25,0|0|2,2020|2024
Sandi Morris,Track and Field,University of Arkansas,Greenville,SC,33,0|1|0,2016|2020
Chris Nilsen,Track and Field,University of South Dakota,Kansas City,MO,28,0|1|0,2020|2024
Michael Norman,Track and Field,University of Southern California,Murrieta,CA,28,1|0|0,2020|2024
Vernon Norwood,Track and Field,Louisiana State University,New Orleans,LA,34,2|1|1,2020|2024
Yared Nuguse,Track and Field,"University of Notre Dame '21, Biochemistry",Louisville,KY,26,0|0|1,2020|2024
Keturah Orji,Track and Field,"University of Georgia '18, Financial Planning",Mount Olive,NJ,30,0|0|0,2016|2020|2024
Jesse Owens,Track and Field,The Ohio State University,Cleveland,OH,66,4|0|0,1936
DeAnna Price,Track and Field,Southern Illinois University,"Old Monroe/Troy",MO,32,0|0|0,2016|2020|2024
Brittney Reese,Track and Field,"University of Mississippi '08, English",Gulfport,MS,39,1|2|0,2008|2012|2016|2020
Sanya Richards-Ross,Track and Field,University of Texas,Austin,TX,41,4|0|1,2004|2008|2012
Raevyn Rogers,Track and Field,University of Oregon,Houston,TX,29,0|0|1,2020
Kenneth Rooks,Track and Field,Brigham Young University,College Place,WA,,0|1|0,2024
Wilma Rudolph,Track and Field,Tennessee State University,Clarksville,TN,54,3|0|1,1956|1960
Galen Rupp,Track and Field,University of Oregon,Portland,OR,40,0|1|1,2008|2012|2016|2020
Masai Russell,Track and Field,University of Kentucky,Potomac,MD,25,1|0|0,2024
