name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Bart Conner,Artistic Gymnastics,University of Oklahoma,Chicago,IL,68,2|0|0,1976|1984
Nastia Liukin,Artistic Gymnastics,Spring Creek Academy; New York University,Parker,TX,36,1|3|1,2008
Shannon Miller,Artistic Gymnastics,"Edmond North High School (Edmond, Okla.); University of Houston; Boston College Law School",Edmond,OK,49,2|2|3,1992|1996
Mary Lou Retton,Artistic Gymnastics,University of Texas at Austin,Fairmont,WV,58,1|2|2,1984
Peter Vidmar,Artistic Gymnastics,"Brentwood High School (Los Angeles, Calif.); UCLA",Los Angeles,CA,64,2|1|0,1984
