name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Kolohe Andino,Surfing,San Clemente High School (San Clemente Calif.),San Clemente,CA,32,0|0|0,2020
Griffin Colapinto,Surfing,San Clemente High School,San Clemente,CA,27,0|0|0,2024
John John Florence,Surfing,Kahuku High School,Haleiwa,HI,33,0|0|0,2020|2024
Caroline Marks,Surfing,,Melbourne Beach,FL,24,1|0|0,2020|2024
Carissa Moore,Surfing,Punahou School '10,Honolulu,HI,33,1|0|0,2020|2024
Caitlin Simmers,Surfing,Coastal Academy High School,Oceanside,CA,20,0|0|0,2024
