name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Canyon Barry,3x3 Basketball,College of Charleston,Fort Wayne,IN,32,0|0|0,2024
Cierra Burdick,3x3 Basketball,University of Tennessee '15,Charlotte,NC,32,0|0|1,2024
Dearica Hamby,3x3 Basketball,Wake Forest University,Marietta,GA,32,0|0|1,2024
Rhyne Howard,3x3 Basketball,University of Kentucky '22,Cleveland,TN,26,0|0|1,2024
Hailey Van Lith,3x3 Basketball,"University of Louisville ('20-'23); Louisiana State University ('23-'24); Texas Christian University ('24)",Wenatchee,WA,24,0|0|1,2024
